ごるふをするおんな	ごるふをするおんな 🏌️‍♀️
さうな	さうな 🧖 🧖‍♀️ 🧖‍♂️
オタク	オタク 🤓
しゃべる	しゃべる 🦜 🦜 🪏
きゅうじょ	きゅうじょ 🛟
カジュアル	カジュアル 👖
ママ	ママ 👩‍🍼
けつえきがたえいびーがた	けつえきがたえいびーがた 🆎
失望した顔	失望した顔 😞
びょういん	びょういん 🏥
盲導犬	盲導犬 🦮
割マーク	割マーク 🈹
ひのついた	ひのついた ❤️‍🔥
しょうさい	しょうさい 🔎
COOL	COOL 🆒
マリ	マリ 🇲🇱
乗馬	乗馬 🏇 🐎
三つ又	三つ又 🔱
百貨店	百貨店 🏬
一時停止ボタン	一時停止ボタン ⏸️
女	女 ♀️ 🏄‍♀️ 🏊‍♀️ 🏋️‍♀️ 🏌️‍♀️ 👧 👩 👩‍⚕️ 👩‍⚖️ 👩‍✈️ 👩‍🌾 👩‍🍳 👩‍🍼 👩‍🎓 👩‍🎤 👩‍🎨 👩‍🏫 👩‍🏭 👩‍💻 👩‍💼 👩‍🔧 👩‍🔬 👩‍🚀 👩‍🚒 👩‍🦰 👩‍🦱 👩‍🦲 👩‍🦳 👫 👭 👯‍♀️ 👰‍♀️ 👱‍♀️ 👳‍♀️ 👷‍♀️ 👸 💁‍♀️ 💃 💆‍♀️ 🕵️‍♀️ 🙅‍♀️ 🙇‍♀️ 🙋‍♀️ 🙍‍♀️ 🙎‍♀️ 🚣‍♀️ 🚴‍♀️ 🚵‍♀️ 🤦‍♀️ 🤰 🤱 🤵‍♀️ 🤶 🤷‍♀️ 🤹‍♀️ 🧔‍♀️ 🧕 🧖‍♀️ 🧗‍♀️ 🧘‍♀️ 🧙‍♀️ 🧚‍♀️ 🧛‍♀️ 🧜‍♀️ 🧝‍♀️ 🧞‍♀️ 🧟‍♀️
イエメン	イエメン 🇾🇪
クリスマスツリー	クリスマスツリー 🎄
ていてつ	ていてつ 🧲
飾り２	飾り２ ✴️
ブーツ	ブーツ 👢 🥾
飾り３	飾り３ ✳️
開発者	開発者 👨‍💻 👩‍💻 🧑‍💻
守衛	守衛 💂 💂‍♀️ 💂‍♂️
ろっかくせい	ろっかくせい 🔯
しーえる	しーえる 🆑
トランプ	トランプ ♠️ ♣️ ♥️ ♦️ 🃏
ヒマワリ	ヒマワリ 🌻
ひらいたほん	ひらいたほん 📖
まとりょーしか	まとりょーしか 🪆
ぶんしょ	ぶんしょ 📃 📄 📜
するどい	するどい 🪒
ブーケ	ブーケ 💐
おちゃ	おちゃ 🍵 🧉 🧋 🫖
温かい飲み物	温かい飲み物 ☕️
ひょうざん	ひょうざん 🧊
天文学	天文学 ⭐️
でんわはっしん	でんわはっしん 📲
エンドウ豆	エンドウ豆 🫛
わーい	わーい 😃 😃 😄 😄 😅 😝 😝 🤩 🤩
おちば	おちば 🍁 🍂 🍃
ぼると	ぼると 🔩
びーるじょっき	びーるじょっき 🍺
着物	着物 👘
不死身	不死身 🧛
しまうま	しまうま 🦓
扇	扇 🪭
星座（うお座）	星座（うお座） ♓️
未確認飛行物体	未確認飛行物体 🛸
かなりあしょとう	かなりあしょとう 🇮🇨
スティック	スティック 🏑 🏒 🕹️ 🥍
扉	扉 🚪
だんせいとじょせいとおとこのこのかぞく	だんせいとじょせいとおとこのこのかぞく 👨‍👩‍👦
女性と女性と男の子と男の子の家族	女性と女性と男の子と男の子の家族 👩‍👩‍👦‍👦
手	手 ☝️ ✊️ ✋️ ✌️ ✍️ 👆️ 👇️ 👈️ 👉️ 👊 👋 👌 👍️ 👎️ 👏 👐 🖐️ 🖕 🖖 🙆 🙋 🙌 🙏 🤌 🤏 🤘 🤙 🤚 🤛 🤜 🤝 🤞 🤟 🤲 🦾 🧑‍🤝‍🧑 🧤 🪬 🫰 🫱 🫲 🫳 🫴 🫵 🫶 🫷 🫸
じょせいとおとこのことおとこのこのかぞく	じょせいとおとこのことおとこのこのかぞく 👩‍👦‍👦
疲れ	疲れ 😩 😫 🥱
ちゅうどく	ちゅうどく 🥴
のうじょうぬし	のうじょうぬし 🧑‍🌾
すーつけーす	すーつけーす 🛄 🛅 🧳
てんびんざ	てんびんざ ♎️ ⚖️
はんしゃ	はんしゃ 🦺 🪞
アート	アート 🎨 🖼️
娘	娘 👧
戸	戸 🚪
ヨガのポーズをする男	ヨガのポーズをする男 🧘‍♂️
れすきゅー	れすきゅー 🛟 🧑‍🚒
ハチミツ	ハチミツ 🍯
ぱすわーど	ぱすわーど 🔑 🗝️
ぱすぽーとこんとろーる	ぱすぽーとこんとろーる 🛂
厚着	厚着 🧣 🧥
考えてる顔	考えてる顔 😔
ぺたんこ靴	ぺたんこ靴 🥿
けつえきがたえいがた	けつえきがたえいがた 🅰️
ちゃくしんちゅう	ちゃくしんちゅう 📲
前を向いているひよこ	前を向いているひよこ 🐥
競馬	競馬 🏇 🐎
のーと	のーと 📒 📓 📔 🗒️
げきじょう	げきじょう 🎭️
プラグ	プラグ 🔌
あーるまーく	あーるまーく ®️
ぼるととなっと	ぼるととなっと 🔩
スリナム	スリナム 🇸🇷
プラス	プラス ➕️
毛虫	毛虫 🐛
5じはん	5じはん 🕠️
じゅしんばこ	じゅしんばこ 📥️ 📨
科学	科学 📡 🔍️ 🔎 🔬 🔭 🦠 🧪
じぐそーぱずる	じぐそーぱずる 🧩
むしめがねひだり	むしめがねひだり 🔍️
いりょうのしんぼる	いりょうのしんぼる ⚕️
ティールブルー	ティールブルー 🩵
はりねずみ	はりねずみ 🦔 🦔
眠い	眠い 😪 😴 🥱 🫩
オーバー	オーバー 🧥
ハートのびっくり	ハートのびっくり ❣️
ボトル	ボトル 🍾
信号横	信号横 🚥
八角形	八角形 🛑
しんぶんし	しんぶんし 📰 🗞️
テイクアウト弁当	テイクアウト弁当 🥡
すてぃっく	すてぃっく 🏑 🏒 🕹️ 🥍
日暮れ	日暮れ 🌇
すいどう	すいどう 🚰
オリエンテーリング	オリエンテーリング 🧭
白い疑問符	白い疑問符 ❔️
まいく	まいく 🎙️ 🎤
映画（カチンコ）	映画（カチンコ） 🎬️
女の子	女の子 👧 👨‍👧 👨‍👧‍👦 👨‍👧‍👧 👨‍👨‍👧 👨‍👨‍👧‍👦 👨‍👨‍👧‍👧 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧 👩‍👧 👩‍👧‍👦 👩‍👧‍👧 👩‍👩‍👧 👩‍👩‍👧‍👦 👩‍👩‍👧‍👧
手（パンチ）	手（パンチ） 👊
ないこうてき	ないこうてき 🫥
フォーマル	フォーマル 🤵
信号機	信号機 🚥 🚦
車椅子	車椅子 ♿️ 🦼 🦽
初月	初月 🌒
むじんとう	むじんとう 🏝️
霧の都会	霧の都会 🌁
こうそくじょうぼたん	こうそくじょうぼたん ⏫️
ちんげんさい	ちんげんさい 🥬
眠る	眠る 😪 😴
指	指 ✌️ 🈯️ 👆️ 👇️ 👈️ 👉️ 🖕 🤌 🤏 🤞 🫰 🫵
受信機	受信機 📻️
無料	無料 🆓 🈚️
ぽんどさつ	ぽんどさつ 💷
きゃー	きゃー 😆 😆
かいじょけん	かいじょけん 🐕‍🦺
ジト目	ジト目 😒
こいのぼり	こいのぼり 🎏 🎏
すいむうぇあ	すいむうぇあ 🩱 🩲 🩳
へりこぷたー	へりこぷたー 🚁
交差した旗	交差した旗 🎌
みぎうえ	みぎうえ ↗️
えーっ	えーっ 😲 😲 😳 😳
ししざ	ししざ ♌️ 🦁
山高帽	山高帽 🎩
おおきくなるはーと	おおきくなるはーと 💗
せじょう	せじょう 🔒️
いわざる	いわざる 🙊
ベッド	ベッド 🛌 🛏️
居待月	居待月 🌖
かいじょう	かいじょう 🔑 🔓️
れいじ	れいじ 🕛️
こうぐばこ	こうぐばこ 🧰
たんご	たんご 💃 🕺
ししゃ	ししゃ ⚰️ 💀
計算	計算 ➖️ 🧮
なきわらい	なきわらい 😂 🤣
かっぱつ	かっぱつ 🤸 🤸‍♀️ 🤸‍♂️
隠す	隠す 🙈
くちがひらいたかお	くちがひらいたかお 😮
ふぁいやー	ふぁいやー 🔥
フィジー	フィジー 🇫🇯
おてあげするひと	おてあげするひと 🤷
ファイル	ファイル 📁 📂 🗃️ 🗄️
せいべつ	せいべつ ⚧️
すてーしょん	すてーしょん 🚉
婚約指輪	婚約指輪 💍
あすたりすく	あすたりすく ✳️ ❇️
角帽	角帽 🎓️ 👨‍🎓 👩‍🎓 🧑‍🎓
ケバブ	ケバブ 🥙
バレエシューズ	バレエシューズ 🥿 🩰
さくらんぼ	さくらんぼ 🍒 🍒
しかめっつら	しかめっつら 😬 🙍 🙍‍♀️ 🙍‍♂️
ふつりょうぎあな	ふつりょうぎあな 🇬🇫
開錠	開錠 🔑
練り物	練り物 🍢 🍥
どーどー	どーどー 🦤
ふあ～	ふあ～ 🥱
ちからこぶ	ちからこぶ 💪
かたーる	かたーる 🇶🇦
とりももにく	とりももにく 🍗
体操	体操 🤸 🤸‍♀️ 🤸‍♂️
えんとつ	えんとつ 🏭️
いべんと	いべんと 🎪
まほう	まほう 🔮 🧙 🧚 🧝 🪄
がんぐ	がんぐ 🧸 🪀 🪁 🪃
ぶろんとさうるす	ぶろんとさうるす 🦕
はつねつ	はつねつ 🥵
みぎまわり	みぎまわり 🔃
真珠	真珠 🦪
しんぱい	しんぱい 😟
馬（首）	馬（首） 🐴
男子トイレ	男子トイレ 🚹️
いしゃ	いしゃ ⚕️ 🏥 👨‍⚕️ 👩‍⚕️ 💉 💊 🥼 🧑‍⚕️ 🩸 🩺 🩻
ゼムクリップ	ゼムクリップ 📎
しょうげき	しょうげき 💥
玩具	玩具 🧸 🪀 🪁 🪃
顔のある下弦の月	顔のある下弦の月 🌜️
レーシングカー	レーシングカー 🏎️
赤ちゃん天使	赤ちゃん天使 👼
しんぱく	しんぱく 🫀
鋭い	鋭い 🪒
サントメ・プリンシペ	サントメ・プリンシペ 🇸🇹
うつろな目	うつろな目 🥴
!?	!? ⁉️ ⁉️
あかいかんたんふ	あかいかんたんふ ❗️
カナダ	カナダ 🇨🇦
ナザール・ボンジュウ	ナザール・ボンジュウ 🧿
たい	たい 🆚 🇹🇭 👔
もーりたにあ	もーりたにあ 🇲🇷
じょせいうちゅうひこうし	じょせいうちゅうひこうし 👩‍🚀
たーばんのひと	たーばんのひと 👳
ペルー	ペルー 🇵🇪
かき氷	かき氷 🍧
めがまわる	めがまわる 💫 😵‍💫
息を吐く顔	息を吐く顔 😮‍💨
たぐ	たぐ 🏷️ 🔖
はろうぃーん	はろうぃーん 🎃 👻 🧛 🧟
たけ	たけ 🎍
たこ	たこ 🐙 🐙 🪁 🪁
実	実 🫒
さけんでいるかお	さけんでいるかお 😱
ベラルーシ	ベラルーシ 🇧🇾
あんないじょ	あんないじょ ℹ️
むし	むし 🐌 🐛 🐜 🐝 🐞 🕷️ 🦂 🦋 🦗 🦟 🪰 🪱 🪲 🪳
寝待月	寝待月 🌖
弁当箱	弁当箱 🍱
たす	たす ➕️
かなづち	かなづち ⚒️ ⚒️ 🔨 🔨 🛠️ 🛠️
きょがん	きょがん 🪨
れすらー	れすらー 🤼
ただ	ただ 🆓 🈚️
つまんでいるゆび	つまんでいるゆび 🤏
SUV車	SUV車 🚙
ムービー	ムービー 🎞️ 🎥 📹️ 📽️
たつ	たつ 🐲
もにたー	もにたー 🖥️
みつまた	みつまた 🔱
たて	たて 🛡️
風呂	風呂 🚿 🛀 🛁 🧼
ギニア	ギニア 🇬🇳
にんにく	にんにく 🧄
とれーらー	とれーらー 🚛
こうかい	こうかい 🧭
むれ	むれ 🦬
ばくちく	ばくちく 🧨
家	家 🏘️ 🏚️ 🏠️ 🏡 🛖
杖をついた男性	杖をついた男性 👨‍🦯 👨‍🦯‍➡️
けしょうしつ	けしょうしつ 🚹️ 🚺️ 🚻 🚾
めをとじてきす	めをとじてきす 😚
人差し指と小指を立てた手	人差し指と小指を立てた手 🤘
受付	受付 💁
のうか	のうか 👨‍🌾 👩‍🌾 🧑‍🌾
曇り	曇り ☁️ ⛅️ 🌥️ 🌦️ 🌫️
ATM	ATM 🏧
困惑	困惑 😕 😖 🫤
ＩＤ	ＩＤ 🆔
警察官	警察官 👮 👮‍♀️ 👮‍♂️
ワイン	ワイン 🍷
おやゆびサイン	おやゆびサイン 👍️
あおいしかく	あおいしかく 🟦
たま	たま 🎳 🔮
チュッ	チュッ 😘
スロットマシン	スロットマシン 🎰
スーパーマン	スーパーマン 🦸
「！？」	「！？」 ⁉️
ゆきやま	ゆきやま 🏔️
にほん	にほん 🇯🇵 🎋 🎌 🎍 🎎 🏯 🗾
キックスケーター	キックスケーター 🛴
バンド	バンド 🪈
たーきー	たーきー 🦃
パーティ	パーティ 👯
笑い転げる	笑い転げる 🤣
サッカーボール	サッカーボール ⚽️
ぷらんじゃー	ぷらんじゃー 🪠
てのこうじょうゆびさし	てのこうじょうゆびさし 👆️
寺	寺 🛕
なぐさめ	なぐさめ 🫂
AB型	AB型 🆎
すらいだー	すらいだー 🎚️
曲げた脚	曲げた脚 🦵
対	対 🆚
おんどけい	おんどけい 🌡️
派手	派手 🦚 🦩
おとこのこ	おとこのこ 👦 👨‍👦 👨‍👦‍👦 👨‍👧‍👦 👨‍👨‍👦 👨‍👨‍👦‍👦 👨‍👨‍👧‍👦 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦 👩‍👦 👩‍👦‍👦 👩‍👧‍👦 👩‍👩‍👦 👩‍👩‍👦‍👦 👩‍👩‍👧‍👦
お手上げする男	お手上げする男 🤷‍♂️
のうふ	のうふ 👨‍🌾
ディプロドクス	ディプロドクス 🦕
ハニー	ハニー 🍯
月額	月額 🈷️
むすびめ	むすびめ 🪢
ドイツ	ドイツ 🇩🇪
8時半	8時半 🕣️
笑顔	笑顔 ☺️ 😀 😁 😂 😃 😄 😅 😆 😇 😈 😋 😍 😎 😙 😸 😹 😺 😻 🙂 🙃 🤗 🤣 🤩 🤭 🥰 🥳
石油	石油 🛢️
2人	2人 👥
すいてき	すいてき 💦 💧
悪役	悪役 🦹
黄色いハート	黄色いハート 💛
支払い	支払い 💳️ 💸
ぶーたん	ぶーたん 🇧🇹
チュー	チュー 💏
とりだしぼたん	とりだしぼたん ⏏️
きかいこう	きかいこう 🧰
電源OFF	電源OFF 📴
ON矢印	ON矢印 🔛
怒りの吹き出し	怒りの吹き出し 🗯️
くやしい	くやしい 🫦
観覧車	観覧車 🎡
山	山 ⛰️ 🌋 🏔️ 🏕️ 🗻 🚵 🧗
わっふる	わっふる 🧇
はいいろのはーと	はいいろのはーと 🩶
にゅうじょうけん	にゅうじょうけん 🎟️ 🎫
やもり	やもり 🦎
リュージュ	リュージュ 🛷
くやしさ	くやしさ 🫦
コンセント	コンセント 🔌
マスク	マスク 😷 🤿
記号	記号 ©️ ®️ ‼️ ⁉️ ™️ ☑️ ✅️ ✔️ ✖️ ✳️ ✴️ ❇️ ❌️ ❎️ ❓️ ❔️ ❕️ ❗️ ➕️ ➖️ ➗️ ➰️ ➿️ ⭕️ 〰️ 〽️ 🔣
赤ちゃんマーク	赤ちゃんマーク 🚼️
チケット	チケット 🎟️ 🎫
花飾り	花飾り 🏵️
岩	岩 🪨
とらんすじぇんだーのまーく	とらんすじぇんだーのまーく ⚧️
ペンギン	ペンギン 🐧
乗用車	乗用車 🚗 🚘️ 🚙
サン・マルタン	サン・マルタン 🇲🇫
電話２	電話２ 📞
そうしんとれい	そうしんとれい 📤️
電話３	電話３ 📱
みどり	みどり 🍋‍🟩 💚 🟢 🟩 🪴
2位	2位 🥈
土下座	土下座 🙇 🙇‍♀️ 🙇‍♂️
でぃやらんぷ	でぃやらんぷ 🪔
ビーサン	ビーサン 🩴
ロッカー	ロッカー 🛅 🧑‍🎤
ボート	ボート 🚣 🚣‍♀️ 🚤 🛥️ 🛶
ろーまじ	ろーまじ 🔠 🔡 🔤
ボード	ボード 🛹
焼き菓子	焼き菓子 🧇
かんだんけい	かんだんけい 🌡️
サウナに入る男	サウナに入る男 🧖‍♂️
輪廻	輪廻 🐦‍🔥
シカ	シカ 🦌
へいわのしんぼる	へいわのしんぼる ☮️
月餅	月餅 🥮
受信	受信 📥️ 📩 📲
ヘビ	ヘビ 🐍
かぷせる	かぷせる 💊
レインボーフラッグ	レインボーフラッグ 🏳️‍🌈
ピーマン	ピーマン 🫑
婦人靴	婦人靴 👠 👡 👢
更新	更新 🆙 🔄
フランクフルト	フランクフルト 🌭
木の葉	木の葉 🍂 🍃
ふらんくふると	ふらんくふると 🌭
島	島 🏝️
ボール	ボール ⚽️ ⚾️ 🎱 🎳 🎾 🏀 🏈 🏉 🏏 🏐 🏑 🏓 🤾 🤾‍♀️ 🥍 🥎
指摘	指摘 🫵
みくろねしあれんぽう	みくろねしあれんぽう 🇫🇲
ジャケット	ジャケット 🧥
少女	少女 👧
鼓動	鼓動 💓 🫀
いーぐる	いーぐる 🦅
うわの空	うわの空 😶‍🌫️
つぎへ	つぎへ ▶️
時計（３時）	時計（３時） 🕒️
ヘリ	ヘリ 🚁
けいとだま	けいとだま 🧶
ぴーす	ぴーす ✌️ 🧩
サクソフォン	サクソフォン 🎷
ぴーち	ぴーち 🍑
よこぶえ	よこぶえ 🪈
はなす	はなす 🗣️
Pマーク	Pマーク 🅿️
でぃぷろどくす	でぃぷろどくす 🦕
こうくうき	こうくうき ✈️ 🛩️ 🛫 🛬
お菓子	お菓子 🍘 🍩 🍪 🍫 🍬 🍭 🍮 🍰 🍿 🎂 🥧 🧁
安全	安全 🔐 🛟 🦺
獅子座	獅子座 ♌️
アラーム	アラーム ⏰️
めかにっく	めかにっく 👨‍🔧 👩‍🔧 🧑‍🔧 🧰
ケーブルカー	ケーブルカー 🚠
しごせんのあるちきゅう	しごせんのあるちきゅう 🌐
斧	斧 🪓
おじぎする男	おじぎする男 🙇‍♂️
さいくりすと	さいくりすと 🚴 🚴‍♀️ 🚵 🚵‍♀️
口ひげ	口ひげ 🥸
ココナツ	ココナツ 🥥
はなび	はなび 🎆 🎇 🧨
だんまり	だんまり 😶 😶
ターバン	ターバン 👳 👳‍♀️ 👳‍♂️
新	新 🆕
0けい	0けい 🚅
ちーず	ちーず 🍕 🧀 🪤 🫕
じょりーろじゃー	じょりーろじゃー 🏴‍☠️
すてーきにく	すてーきにく 🥩
ゆだやきょう	ゆだやきょう ✡️ 🔯 🕍 🕎
旗	旗 ⛳️ 🇦🇨 🇦🇩 🇦🇪 🇦🇫 🇦🇬 🇦🇮 🇦🇱 🇦🇲 🇦🇴 🇦🇶 🇦🇷 🇦🇸 🇦🇹 🇦🇺 🇦🇼 🇦🇽 🇦🇿 🇧🇦 🇧🇧 🇧🇩 🇧🇪 🇧🇫 🇧🇬 🇧🇭 🇧🇮 🇧🇯 🇧🇱 🇧🇲 🇧🇳 🇧🇴 🇧🇶 🇧🇷 🇧🇸 🇧🇹 🇧🇻 🇧🇼 🇧🇾 🇧🇿 🇨🇦 🇨🇨 🇨🇩 🇨🇫 🇨🇬 🇨🇭 🇨🇮 🇨🇰 🇨🇱 🇨🇲 🇨🇳 🇨🇴 🇨🇵 🇨🇷 🇨🇺 🇨🇻 🇨🇼 🇨🇽 🇨🇾 🇨🇿 🇩🇪 🇩🇬 🇩🇯 🇩🇰 🇩🇲 🇩🇴 🇩🇿 🇪🇦 🇪🇨 🇪🇪 🇪🇬 🇪🇭 🇪🇷 🇪🇸 🇪🇹 🇪🇺 🇫🇮 🇫🇯 🇫🇰 🇫🇲 🇫🇴 🇫🇷 🇬🇦 🇬🇧 🇬🇩 🇬🇪 🇬🇫 🇬🇬 🇬🇭 🇬🇮 🇬🇱 🇬🇲 🇬🇳 🇬🇵 🇬🇶 🇬🇷 🇬🇸 🇬🇹 🇬🇺 🇬🇼 🇬🇾 🇭🇰 🇭🇲 🇭🇳 🇭🇷 🇭🇹 🇭🇺 🇮🇨 🇮🇩 🇮🇪 🇮🇱 🇮🇲 🇮🇳 🇮🇴 🇮🇶 🇮🇷 🇮🇸 🇮🇹 🇯🇪 🇯🇲 🇯🇴 🇯🇵 🇰🇪 🇰🇬 🇰🇭 🇰🇮 🇰🇲 🇰🇳 🇰🇵 🇰🇷 🇰🇼 🇰🇾 🇰🇿 🇱🇦 🇱🇧 🇱🇨 🇱🇮 🇱🇰 🇱🇷 🇱🇸 🇱🇹 🇱🇺 🇱🇻 🇱🇾 🇲🇦 🇲🇨 🇲🇩 🇲🇪 🇲🇫 🇲🇬 🇲🇭 🇲🇰 🇲🇱 🇲🇲 🇲🇳 🇲🇴 🇲🇵 🇲🇶 🇲🇷 🇲🇸 🇲🇹 🇲🇺 🇲🇻 🇲🇼 🇲🇽 🇲🇾 🇲🇿 🇳🇦 🇳🇨 🇳🇪 🇳🇫 🇳🇬 🇳🇮 🇳🇱 🇳🇴 🇳🇵 🇳🇷 🇳🇺 🇳🇿 🇴🇲 🇵🇦 🇵🇪 🇵🇫 🇵🇬 🇵🇭 🇵🇰 🇵🇱 🇵🇲 🇵🇳 🇵🇷 🇵🇸 🇵🇹 🇵🇼 🇵🇾 🇶🇦 🇷🇪 🇷🇴 🇷🇸 🇷🇺 🇷🇼 🇸🇦 🇸🇧 🇸🇨 🇸🇩 🇸🇪 🇸🇬 🇸🇭 🇸🇮 🇸🇯 🇸🇰 🇸🇱 🇸🇲 🇸🇳 🇸🇴 🇸🇷 🇸🇸 🇸🇹 🇸🇻 🇸🇽 🇸🇾 🇸🇿 🇹🇦 🇹🇨 🇹🇩 🇹🇫 🇹🇬 🇹🇭 🇹🇯 🇹🇰 🇹🇱 🇹🇲 🇹🇳 🇹🇴 🇹🇷 🇹🇹 🇹🇻 🇹🇼 🇹🇿 🇺🇦 🇺🇬 🇺🇲 🇺🇳 🇺🇸 🇺🇾 🇺🇿 🇻🇦 🇻🇨 🇻🇪 🇻🇬 🇻🇮 🇻🇳 🇻🇺 🇼🇫 🇼🇸 🇽🇰 🇾🇪 🇾🇹 🇿🇦 🇿🇲 🇿🇼 🎌 🏁 🏳️ 🏳️‍⚧️ 🏴 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🏴󠁧󠁢󠁷󠁬󠁳󠁿 🚩
